"Name","Difficulty","Is Super?","Is Boss?","Area Level","Base Monster Level","Actual Monster Level","Area","Area ID"
"Bishibosh","hell","yes","no",68,68,71,"Cold Plains",3
"Rakanishu","hell","yes","no",68,68,71,"Stony Field",4
"Treehead WoodFist","hell","yes","no",68,69,71,"Dark Wood",5
"Corpsefire","hell","yes","no",79,67,82,"Den of Evil",8
"Coldcrow","hell","yes","no",77,68,80,"Cave Level 1",9
"Blood Raven","hell","no","yes",80,88,88,"Burial Grounds",17
"Bonebreaker","hell","yes","no",83,68,86,"Crypt",18
"The Countess","hell","yes","no",79,69,82,"Tower Cellar Level 5",25
"The Smith","hell","yes","no",70,79,73,"Barracks",28
"Pitspawn Fouldog","hell","yes","no",71,72,74,"Jail Level 2",30
"Bone Ash","hell","yes","no",72,79,75,"Cathedral",33
"Andariel","hell","no","yes",73,75,75,"Catacombs Level 4",37
"Griswold","hell","yes","yes",76,84,87,"Tristram",38
"The Cow King","hell","yes","no",81,81,84,"The Secret Cow Level",39
"Beetleburst","hell","yes","no",76,76,79,"Far Oasis",43
"Dark Elder","hell","yes","no",77,77,80,"Lost City",44
"Radament","hell","yes","yes",75,83,86,"Sewers Level 3",49
"Fire Eye","hell","yes","no",78,78,81,"Palace Cellar Level 3",54
"Creeping Feature","hell","yes","no",85,79,88,"Stony Tomb Level 2",59
"Bloodwitch the Wild","hell","yes","no",82,75,85,"Halls of the Dead Level 3",60
"Fangskin","hell","yes","no",83,77,86,"Claw Viper Temple Level 2",61
"Coldworm the Burrower","hell","yes","no",85,81,88,"Maggot Lair Level 3",64
"Ancient Kaa the Soulless","hell","yes","no",80,80,83,"Tal Rasha's Tomb",66
"Ancient Kaa the Soulless","hell","yes","no",80,80,83,"Tal Rasha's Tomb",67
"Ancient Kaa the Soulless","hell","yes","no",80,80,83,"Tal Rasha's Tomb",68
"Ancient Kaa the Soulless","hell","yes","no",80,80,83,"Tal Rasha's Tomb",69
"Ancient Kaa the Soulless","hell","yes","no",80,80,83,"Tal Rasha's Tomb",70
"Ancient Kaa the Soulless","hell","yes","no",80,80,83,"Tal Rasha's Tomb",71
"Ancient Kaa the Soulless","hell","yes","no",80,80,83,"Tal Rasha's Tomb",72
"Duriel","hell","no","yes",80,88,88,"Tal Rasha's Chamber",73
"The Summoner","hell","no","yes",79,80,80,"Arcane Sanctuary",74
"Stormtree","hell","yes","no",80,81,83,"Flayer Jungle",78
"Ismail Vilehand","hell","yes","no",82,88,85,"Travincal",83
"Geleb Flamefinger","hell","yes","no",82,88,85,"Travincal",83
"Toorc Icefist","hell","yes","no",82,88,85,"Travincal",83
"Sszark the Burning","hell","yes","no",79,79,82,"Spider Cavern",85
"Witch Doctor Endugu","hell","yes","no",83,82,86,"Flayer Dungeon Level 3",91
"Icehawk Riftwing","hell","yes","no",85,81,88,"Sewers Level 1",92
"Battlemaid Sarina","hell","yes","no",85,84,88,"Ruined Temple",94
"Bremm Sparkfist","hell","yes","no",83,88,86,"Durance of Hate Level 3",102
"Wyand Voidbringer","hell","yes","no",83,88,86,"Durance of Hate Level 3",102
"Maffer Dragonhand","hell","yes","no",83,88,86,"Durance of Hate Level 3",102
"Mephisto","hell","no","yes",83,87,87,"Durance of Hate Level 3",102
"Izual","hell","no","yes",83,86,86,"Plains of Despair",105
"Hephasto The Armorer","hell","yes","no",85,88,88,"River of Flame",107
"Infector of Souls","hell","yes","no",85,84,88,"The Chaos Sanctuary",108
"Lord De Seis","hell","yes","no",85,85,88,"The Chaos Sanctuary",108
"Grand Vizier of Chaos","hell","yes","no",85,85,88,"The Chaos Sanctuary",108
"Diablo","hell","no","yes",85,94,94,"The Chaos Sanctuary",108
"Shenk the Overseer","hell","yes","no",80,80,83,"Bloody Foothills",110
"Dac Farren","hell","yes","no",80,81,83,"Bloody Foothills",110
"Eldritch the Rectifier","hell","yes","no",81,79,84,"Frigid Highlands",111
"Eyeback the Unleashed","hell","yes","no",81,80,84,"Frigid Highlands",111
"Sharptooth Slayer","hell","yes","no",81,82,84,"Frigid Highlands",111
"Thresh Socket","hell","yes","no",81,81,84,"Arreat Plateau",112
"Frozenstein","hell","yes","no",83,85,86,"Frozen River",114
"Bonesaw Breaker","hell","yes","no",83,82,86,"Glacial Trail",115
"Snapchip Shatter","hell","yes","no",85,82,88,"Icy Cellar",119
"Talic","hell","yes","no",87,87,90,"Arreat Summit",120
"Madawc","hell","yes","no",87,87,90,"Arreat Summit",120
"Korlic","hell","yes","no",87,87,90,"Arreat Summit",120
"Pindleskin","hell","yes","no",83,85,86,"Nihlathak's Temple",121
"Nihlathak","hell","yes","yes",84,92,95,"Halls of Vaught",124
"Colenzo the Annihilator","hell","yes","no",85,83,88,"Throne of Destruction",131
"Achmel the Cursed","hell","yes","no",85,85,88,"Throne of Destruction",131
"Bartuc the Bloody","hell","yes","no",85,93,88,"Throne of Destruction",131
"Ventar the Unholy","hell","yes","no",85,93,88,"Throne of Destruction",131
"Lister the Tormentor","hell","yes","no",85,92,88,"Throne of Destruction",131
"Baal","hell","no","yes",85,99,99,"The Worldstone Chamber",132
"Lilith","hell","no","yes",83,110,110,"Matron's Den",133
"Duriel","hell","no","yes",83,110,110,"Forgotten Sands",134
"Izual","hell","no","yes",83,110,110,"Furnace of Pain",135
"Mephisto","hell","no","yes",83,110,110,"Tristram",136
"Diablo","hell","no","yes",83,110,110,"Tristram",136
"Baal","hell","no","yes",83,110,110,"Tristram",136